organisation_1,organisation_2,organisation_3,trans_type,trans_range,origin_country,origin_site,origin_longitude,origin_latitude,capture_date,departure_time,destination_country,destination_site,destination_longitude,destination_latitude,release_time,species,total_individuals,males,females,notes
Government of Senegal,,,founder,extralimital,cmr,,12.7328,5.57,01-01-71,,sen,Niokola-Koba National Park,-12.9601,12.9886,,northern_kordofan,7,,,"all subsequently died; assumed historically Kordofan, out of range. Malyjurkova et al. 2013"
Big Game Parks,,Giraffe Conservation Foundation,founder,range,swz,KaMsholo,31.9416,-26.9786,01-01-22,,swz,Mnjoli Game Reserve,,,,southern_southafrican,5,,,KaMsholo (old Nisela lodge) / Umfomoti Ranch (Mnjoli)
Big Game Parks,,Giraffe Conservation Foundation,augmentation,range,swz,KaMsholo,31.9416,-26.9786,01-01-22,,swz,Panata Ranch,,,,southern_southafrican,2,,,KaMsholo (old Nisela lodge)
Uganda Wildlife Authority,Kenya Wildlife Service,,augmentation,range,ken,Lake Nakuru National Park,36.1211,-0.38,,,uga,Kidepo Valley National Park ,33.75179365,3.830215418,,northern_nubian,3,1,2,"Kalema, G. (1998)"
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-79,,ken,Girafffe Centre,36.7443,-1.3763,,northern_nubian,3,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-67,,ken,Maralal National Sanctuary,,,,northern_nubian,11,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-77,,ken,Lake Nakuru National Park,36.1211,-0.38,,northern_nubian,26,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-83,,ken,Yonder Flower Farm,,,,northern_nubian,7,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-83,,ken,Ruma National Park,,,,northern_nubian,27,5,22,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Soy Ranch,,,01-01-83,,ken,Lake Nakuru National Park,36.1211,-0.38,,northern_nubian,17,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-84,,ken,Mount Elgon National Park,,,,northern_nubian,21,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-80,,ken,Kitale Farm,,,,northern_nubian,10,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-93,,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,,northern_nubian,2,,,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Lake Nakuru National Park,36.1211,-0.38,01-01-95,,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,,northern_nubian,7,3,4,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Lake Nakuru National Park,36.1211,-0.38,01-01-97,,uga,Kidepo Valley National Park,33.75179365,3.830215418,,northern_nubian,3,1,2,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Lake Nakuru National Park,36.1211,-0.38,01-01-02,,ken,Kigio Wildlife Conservancy,36.3934,-0.5675,,northern_nubian,9,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Giraffe Centre,36.7443,-1.3763,,,ken,Haller Nature Park,39.7177,-4.015,,northern_nubian,4,,,1984-1992. Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-98,,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,,northern_nubian,1,,1,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-03,,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,,northern_nubian,3,,3,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-08,,ken,Lake Nakuru National Park,36.1211,-0.38,,northern_nubian,2,,,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-07,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,3,2,1,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-11,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,1,1,,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-15,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,1,1,,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-18,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,3,1,2,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-19,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,3,2,1,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-21,,ken,Rimoi National Reserve,35.6169,0.6424,,northern_nubian,3,,3,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-22,,ken,Rimoi National Reserve,35.6169,0.6424,,northern_nubian,3,2,1,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-00,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,9,,,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Yonder Flower Farm,,,01-01-04,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,6,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,01-01-12,,ken,Rimoi National Reserve,35.6169,0.6424,,northern_nubian,7,3,4,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,01-01-16,,ken,Rimoi National Reserve,35.6169,0.6424,,northern_nubian,8,1,7,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Kitale Farm,,,,,ken,Sergoit Farm,,,,northern_nubian,10,,,2002-2005. Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Kigio Wildlife Conservancy,36.3933,-0.5674,01-01-18,,ken,Girafffe Centre,36.7443,-1.3763,,northern_nubian,2,,2,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Haller Nature Park,39.7177,-4.015,01-01-04,,ken,Nguuni Nature Sanctuary,,,,northern_nubian,7,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,01-01-11,,ken,Ruko Community Sanctuary,,,,northern_nubian,8,1,7,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Marula Farm,,,,,ken,Tindress Farm,,,,northern_nubian,3,,,2011-2012. Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,01-01-20,,ken,Tindress Farm,,,,northern_nubian,2,1,1,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,01-01-22,,ken,Tindress Farm,,,,northern_nubian,5,1,4,
Kenya Wildlife Service,,,,extralimital,ken,Giraffe Centre,36.7443,-1.3763,,,ken,Soysambu Widlife Conservancy,36.2344,-0.4066,,northern_nubian,,,,
Kenya Wildlife Service,,,,extralimital,ken,Giraffe Centre,36.7443,-1.3763,,,ken,Kigio Wildlife Conservancy,36.3934,-0.5675,,northern_nubian,,,,
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,,,ken,Lake Nakuru National Park,36.1211,-0.38,,northern_nubian,,,,
Kenya Wildlife Service,,,,extralimital,ken,Giraffe Centre,36.7443,-1.3763,,,ken,Mwea Nature Reserve,37.61733,-0.8233,,northern_nubian,,,,
Kenya Wildlife Service,Solio Game Reserve,,founder,extralimital,ken,Giraffe Centre,36.7443,-1.3763,28-01-25,28-10-25,ken,Solio Game Reserve,,,,northern_nubian,2,,2,Out of range - moved into reticulated range
Kenya Wildlife Service,The Safari Collection,,augmentation,range,ken,Kedong Ranch,36.4239,-0.8813,22-08-25,22-08-25,ken,Nairobi National Park,36.861,-1.382,,masai_masai,2,1,1,
Kenya Wildlife Service,The Safari Collection,,augmentation,range,ken,Kedong Ranch,36.4239,-0.8813,23-08-25,23-08-25,ken,Loldia Farm,,,,masai_masai,2,1,1,
Kenya Wildlife Service,The Safari Collection,,augmentation,range,ken,Manera Farm,,,04-11-25,04-11-25,ken,WRTI Upper Annex,,,,masai_masai,9,,,
Kenya Wildlife Service,The Safari Collection,,augmentation,range,ken,Manera Farm,,,04-11-25,04-11-25,ken,Nairobi National Park,36.861,-1.382,,masai_masai,5,,,
Kenya Wildlife Service,The Safari Collection,,augmentation,range,ken,Kedong Ranch,36.4239,-0.8813,05-11-25,05-11-25,ken,Oserian Conservancy,,,,masai_masai,9,,,
Kenya Wildlife Service,The Safari Collection,,augmentation,range,ken,Kedong Ranch,36.4239,-0.8813,05-11-25,05-11-25,ken,Nairobi National Park,36.861,-1.382,,masai_masai,2,,,
Kenya Wildlife Service,The Safari Collection,,augmentation,range,ken,Kedong Ranch,36.4239,-0.8813,05-12-25,05-12-25,ken,Nairobi Animal Orphanage,,,,masai_masai,1,,,
,,,founder,extralimital,ken,,,,01-01-86,,rwa,Akagera National Park,30.6502,-1.5459,,masai_masai,6,,,
"Ministry of Environment, Forestry & Tourism",Giraffe Conservation Foundation,,augmentation,range,nam,Waterburg Plateau Park,17.3376,-20.3528,01-01-20,,nam,Okongo Conservancy,,,,southern_angolan,3,,,Mass Capture - not sure sex ratio or capture location 
Doro !nawas Conservancy,Giraffe Conservation Foundation,,augmentation,range,nam,Otjiwarango,16.6822,-20.4622,01-01-20,,nam,Doro !nawas Conservancy,,,,southern_angolan,14,,,Mass Capture - not sure sex ratio or capture location 
"Ministry of Environment, Forestry & Tourism",Giraffe Conservation Foundation,,augmentation,range,nam,Waterburg Plateau Park,17.3376,-20.3528,01-01-20,,nam,Mangetti National Park,19.0417,-18.6963,,southern_angolan,13,,,Mass Capture (?) 
//Huab Conservancy,Giraffe Conservation Foundation,,augmentation,range,nam,Otjiwarango,16.6822,-20.4622,01-01-21,,nam,//Huab Conservancy,,,,southern_angolan,14,,,"Mass Capture, unsure sex ratio and capture site "
ProNamib Conservancy,African Wildlife Services,,augmentation,range,nam,Nomtsas,,,26-04-22,27-04-22,nam,ProNamib Nature Reserve,,,,southern_angolan,6,3,3,
"Ministry of Environment, Forestry & Tourism",Giraffe Conservation Foundation,,augmentation,range,nam,Waterburg Plateau Park,17.3376,-20.3528,01-08-22,,nam,Mangetti National Park,19.0417,-18.6963,,southern_angolan,19,,,"Mass Capture, unsure sex ration and capture site "
Cuatir Nature Reserve,Wildlife Vets Namibia,Mt Etjo Safaris,founder,range,nam,Okonjati Game Reserve,16.4567,-21.0266,28-11-22,28-11-22,ago,Cuatir Nature Reserve,18.1978,-16.4839,,southern_angolan,4,2,2,Mt Etjo (Okonjati)
ProNamib Conservancy,African Wildlife Services,Giraffe Conservation Foundation,augmentation,range,nam,Bitterwasser,,,28-05-23,28-05-23,nam,ProNamib Nature Reserve,,,,southern_angolan,5,2,3,"Nam-PRPC-23-1, Nam-PNPC-23-2, Nam-PNPC-23-3, Nam-PNPC, Nam-PNPC-23-5, Nam-PNPC-23-6"
Ongongo Conservancy,Giraffe Conservation Foundation,"Ministry of Environment, Forestry & Tourism",augmentation,range,nam,Etosha Heights Private Reserve,15.2852,-19.2428,01-01-23,,nam,Ongongo Conservancy,,,,southern_angolan,4,2,2,
Otjiu West Conservancy,Giraffe Conservation Foundation,Du Preez Wild,augmentation,range,nam,Kamanab farm,,,21-05-24,,nam,Otjiu West Conservancy,,,21-05-24,southern_angolan,14,,,Ongongo - Otjiu West Conservancy
Giraffe Conservation Foundation,African Parks,Du Preez Wild,founder,range,nam,Otjiwarango,16.6822,-20.4622,01-07-23,,ago,Iona National Park,12.2547,-16.363,05-07-23,southern_angolan,14,6,8,need to check sex ratio - Mass Capture 
Giraffe Conservation Foundation,African Parks,Du Preez Wild,augmentation,range,nam,Otjiwarango,16.6822,-20.4622,16-05-24,,ago,Iona National Park,12.2547,-16.363,18-05-24,southern_angolan,14,,,need to check sex ratio - Mass Capture 
Christo's Game Dealers,INBAC,,founder,range,nam,Private land,,,01-08-24,,ago,Parque Nacional do Quicama,13.5833,-9.75,,southern_angolan,3,,,"Kissama NP (Parque Nacional do Quicama). Kissama had S. African giraffe introduced previously, they got up to ~70 giraffe in 2019 or so (have to check) and then all poached. Now AGOn giraffeÂ introduced"
Christo's Game Dealers,INBAC,,founder,range,nam,Private land,,,01-08-24,,ago,Benguela District,14.0119,-12.8489,,southern_angolan,4,,,
"Ministry of Environment, Forestry & Tourism",,,,range,nam,,,,,,nam,Mudumu National Park,23.5252,-18.0964,,southern_angolan,,,,
Peace Parks Foundation,Du Preez Wild,,founder,extralimital,nam,Otjiwarango,16.6822,-20.4622,01-01-15,,zmb,Simalaha Conservancy,,,,southern_angolan,8,,,
Peace Parks Foundation,Du Preez Wild,,,extralimital,nam,Otjiwarango,16.6822,-20.4622,01-01-21,,zmb,Simalaha Conservancy,,,,southern_angolan,,,,
,,,,extralimital,nam,,,,,,zmb,Kyindu Ranch,,,,southern_angolan,,,,
,,,,extralimital,nam,Otjiwarongo,16.6822,-20.4622,,,zmb,Kalumbila Farm,,,,southern_angolan,5,2,3,
,,,,extralimital,nam,,,,,,cod,Muyambo Park,,,,southern_southafrican,,,,
,,,,extralimital,nam,,,,,,cod,Parc de Kashamata,,,,southern_southafrican,,,,
,,,,range,nam,,,,,,bwa,BWA (west),,,,southern_angolan,,,,western BWA
,,,,extralimital,nam,,,,,,zaf,"ZAF (Public, Private)",,,,southern_angolan,,,,
"Ministry of Environment, Forestry & Tourism",Government of NGA,,founder,extralimital,nam,,,,01-01-15,,nga,Sumu Wildlife Park,10.6521,9.6603,,southern_angolan,10,,,
Government of DRC,Wildlife Vets NAM,Herholdt Family Trust,founder,extralimital,nam,,,,01-01-17,,cod,Parc de la Vallee de la Nsele,15.6301,-4.2571,,southern_angolan,11,,,
Government of DRC,Wildlife Vets NAM,Herholdt Family Trust,founder,extralimital,nam,,,,01-01-17,,cod,Mateba Island,,,,southern_angolan,4,,,all subsequently died. out of range
ProNamib,African Wildlife Services,Giraffe Conservation Foundation,founder,range,nam,Nomtsas,,,27-04-22,,nam,ProNamib Nature Reserve,,,,southern_angolan,,,,
ProNamib,African Wildlife Services,Giraffe Conservation Foundation,augmentation,range,nam,Bitterwasser,,,29-05-23,,nam,ProNamib Nature Reserve,,,,southern_angolan,,,,
